,job_title,company_name,location,workplace_type,job_posted,job_desc
0,Junior Clinical Trials Data Analyst (Hybrid),IQVIA,"Ottawa, ON",Hybrid,1 week ago,"We are looking for a Junior Clinical Trials Data Analyst within IQVIA's Privacy Analytics’ team in Ottawa, Canada. For more information about Privacy Analytics, please visit us at https://privacy-analytics.comOur Clinical Trials Transparency (CTT) team is growing. We’re hiring a Junior Clinical Trials Data Analyst to support an expanding line of business. In this role you’ll be end-to-end responsible for anonymization projects of client data sets. Using our tools you will analyze and mitigate the risk of re-identification for trial participants whose data appears in clinical trial Structured Individual Patient (S-IPD) data sets. As an ideal candidate you can learn quickly and produce extremely accurate, precise work within tight timelines. You’re familiar with clinical trial data formats (CDISC SDTM, ADaM), medical / healthcare language, comfortable with numbers and statistics, and your excellent communication skills are complemented by strong technical acumen.In this job you will: Develop familiarity with our de-identification methodology.Own assigned projects or project tasks and deliver such on time and with the required quality, providing timely and transparent status updates and managing client expectations.Process clients’ clinical trials data set. Core responsibilities here include: Pre-processing (loading and cleansing) data sets, understanding and classifying tables, variables, and relevant relationships. and / or:Identify and classify direct and indirect identifiers, measure and mitigate re-identification risk, determine and apply required data transformations.Facilitate the creation of anonymization reports and other client deliverables.Collaborate closely with other team members, ensuring that all work meets established quality standards and is completed on time. Participate in peer-reviews of work products.Identify and communicate tool enhancements/refinements and relate defect documentation to developers and researchers.To do this you will have:A Bachelor's degree in Healthcare or Statistics or similarly related fieldThe ability to understand and interpret datasets and variables in clinical trials.The ability to learn our methodology and develop a thorough understanding of how directly and indirectly identifying information contributes to the risk of re-identification. This is generally demonstrated through experience and comfort with scientific and quantitative disciplines for example, clinical research, STEM fields, etc.Working experience with any of SQL, SAS, R, or Python and statistical analysis of clinical or healthcare data is required. Willingness to learn new ETL programs.Exceptional detail-orientation.Well-developed communication and interpersonal skills.The drive to meet exact deadlines and the flexibility to adapt to shifting priorities.The ability to manage sensitive information with the utmost confidentiality.Experience with Adobe PDF and MS Office products (Excel, Word, and PowerPoint).Nice to have / beneficial assets:CDISC SDTM / ADaM working knowledge.Ability to understand and navigate MedDRA terms and their hierarchy.Clinical trial programming experience.Fluent in JapaneseOffice Address: Laurier Ave W #200, Ottawa, ON K1P 5J6, Canada (Hybrid)#CareersWithPAIQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com"
1,Advanced Data Analyst,EA SPORTS,"Toronto, ON",,1 week ago,"As an Advanced Data Analyst you will focus on mining and cleaning data from primary and secondary sources then analyze and interpret results using standard statistical tools and techniques. You will pinpoint trends, correlations and patterns in complex data sets and identify new opportunities to help us conduct process improvement and making decisions. You will report to the Development Director of Analytics.What you will do as an Advanced Data Analyst at EA:You will prepare detailed reports and presentations that help your team identify essential areas of opportunity and insight to guide future design.You will guide, influence, and lead the development of new techniques within data analysis.You will evaluate and interpret data to find risks and opportunities, relaying them to the team and management.You will connect with multiple data providers and customers in the organization, specifically in the development of data requests, checking of data received and following up on data issues.You will conduct analysis using SQL and other database tools.You will drive best practices in tools and visual technologies to help evolve the project dashboards to provide essential data for project monitoring.You will help us develop data solutions and data governance practices to support us in our Organization's data transformation.You will develop scripts and queries to import and manipulate clean data from multiple sources.You will be a Champion for data quality; create data quality policy and implement monitoring to ensure compliance.You will mentor other Data Analysts from a technical perspective.You will be an advocate for Data GovernanceThe Next Great Advanced Data Analyst NeedsMinimum of 5 years of professional experience performing all aspects of business and enterprise level analysisEducation in Business, Statistics, Economics, Data Science, Analytics, or a related fieldProgramming and Database experienced with advanced SQL experience and of other languages such as C#, JavaScript, Python, and RExperience extracting and analyzing data from project workflow and defect management tools, such as from DevTrack, Hansoft or DevTestBuild data modeling and data warehousingUsed Machine LearningAn enthusiasm for creating solutions involving all team membersExcited to manage processes to increase efficiency on behalf of the team.Develop relationships with development partners, customers, support teams and management."
2,Data Scientist (Remote),Yelp,"Vancouver, BC",Remote,5 days ago," local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.This opportunity is fully remote and does not require you to be located in any particular area in Canada. We welcome applicants from throughout Canada.Where You Come InJoin a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp productsDesign, execute, and analyze complex business and user experimentsPartner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platformDevise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experienceProactively research and build ETL pipelines for product and marketplace metricsCommunicate key insights from analyses, experiments and data products to stakeholdersWhat It Takes To SucceedMS/PhD in quantitative field and ideally 3+ years of industry experience in a senior quantitative roleAbility to apply statistical, analytical and technical expertise to product and business problemsPrior experience structuring and leading impactful data science projects independentlyOral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teamsExpertise in SQL, and R or Python for data analysis and platform developmentEnthusiasm for building a culture of learning and developmentIt's Nice To HaveProduct analytics experience with small business or consumer technology productsPrior industry experience building online experimentation and machine learning platformsOther RequirementsVaccination against COVID-19 is not required for this role. We nonetheless encourage all employees to get vaccinated. Employees who are not vaccinated may not visit Yelp’s offices or participate in any in-person work activities, and are not eligible to transfer or be promoted to a role that requires vaccination.At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes."
3,Data Scientist,Scotiabank,"Toronto, ON",,3 days ago,"Requisition ID: 152583Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.PurposeThe Data Scientist role is designed for individuals with a curiosity for deriving insights out of data and applying them to address business opportunities, in partnership with global teams and business lines driving innovation and advanced analytics across the Enterprise.The Data Scientist will support key projects, in an agile rapid lab environment, aimed at accelerating benefits for customers and the bank, leveraging enterprise-level data management tools and advanced analytics. They will work closely with Global teams, business lines, Digital Banking and technology to apply advanced analytics techniques and tools, as well as explore ideas to enhance business opportunities utilizing advanced analytics and artificial intelligence.Responsibilities Work in an Agile environment to deploy solutions within 90-120 days Collaborate with business lines and other stakeholders to identify opportunities to drive business value by leveraging business intelligence, data visualization and machine learning best-practices Ingest massive volumes of structure and unstructured format data, model, transform and store it in a variety of data stores Collaborate with MLOps team to deploy AI and machine learning models in production, across business lines and geographies Create and apply model and algorithm testing strategies to measure conduct multi-variate testing and A/B testing to measure effectiveness of models and make ongoing changes Prepare detailed documentation to outline data sources, models and algorithms used and developed Present results to business line stakeholders and help implement real data-driven changes Be an integral part of the Advanced Analytics community for incubating ideas and use case acceleration in rapid labs across key markets through advisory, training and scalable solutionsMust Have The Data Scientist role requires rigorous logical thinking, curiosity, flexibility and great teamwork abilities. The candidate will be applying strong problem solving skills and and thinking outside of the box to tackle problems at the intersection of math, statistics, computer science and financial services business lines. Minimum 1-2 years experiences in data analytics, software delveopment, or financial service Working experience with advanced analytics, machine learning, predictive mdeling, deep learning, time series analysis applied to real world problems Experience with designing and implementing machine learning applications (e.g. customer segmentation, product recommendation, propensity model and lookalike models) from data ingestion to results delivery and model productionization. Solid SQL skills for querying relational databases (e.g. SQL Server, MySQL, Oracle) Programming skills in one or more lanaguages (Python, Java, C, C++) and capability of writing error-free, high quality, maintainable and reusable code Experience with common data science and machine learning libraries in Python, R, Spark (e.g. pandas, scitkit-learn, etc) Experience with UNIX tools and shell scripting Experience using and implementing visualization tools like Tableau, Power BI, Looker, Metabase, Plotly and etc. Experience with working in cloud computing environmentMuch Preferred Skills Master and PhD degrees in STEM discipline, economics and business management Hands-on experience with Big Data ecosystem tools (e.g. Hadoop, Hive, Spark, BigQuery) and object storage (e.g. blob, MinIO) Experience with Docker, CI/CD tools, and Airflow and Kubernetes Knowledge of strategy optimization leveraging operations research principles would be an asset Strong collaboration skills with ability to translate technical knowledge into business value Effective communication skills with ability to prepare project documentation and presentation for both technical and non-technical audiencesLocation(s): Canada : Ontario : TorontoScotiabank is a leading bank in the Americas. Guided by our purpose: ""for every future"", we help our customers, their families and their communities achieve success through a broad range of advice, products and services, including personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets.At Scotiabank, we value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance, please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted."
4,Senior Data Analyst,TD,"Toronto, ON",,2 days ago,"TD DescriptionTell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.comDepartment OverviewWhat does TD Data & Analytics stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and this includes our vast data.The Business Intelligence group delves into our data, past and present, to develop crucial metrics and reporting functionality that better informs and optimizes key businesses decisions across the organization.This is the team building the tools, reports, dashboards, cubes and scorecards that deliver and process vital data to business partners across the enterprise. Joining us in Business Intelligence & Reporting is an opportunity to advance and deepen your career and to help TD serve its customers in a way we never have before. Job DescriptionAre you a big picture thinker? Fantastic! This is exactly the kind of thinking TD needs when it comes to our business intelligence support and analytics. In this role, we need you to take a holistic, high level approach to collection and reporting of data for major projects and initiatives across TD. As data's role in providing extraordinary products and services to our customers grows, we'll look to the valued expertise you'll provide in this role, to develop, adopt and evolve the best in class reporting and business intelligence capability. Does this sound like you? You're a natural leader, and can lead major initiatives and projects, joining business owners and partners to determine business needs and recommend solutions. Moreover, you have a talent for looking at a collection of data and drawing rare insights. In this role, we'll need you to include those insights and commentary within the existing reporting packages you deliver. Finally, you'll fit in well if you like to own your space and execute with speed and precision, relishing all challenges as opportunities to dig in, collaborate and take TD into the future of banking.As a Senior Business Intelligence & Reporting Analyst, you will: <u;>Produce specialized reporting packages, dashboards and scorecards for businessesLead the implementation of initiatives in support of overall business/function strategyConduct analysis to provide improved BI to inform management leadership teamCraft complex and comprehensive BI reporting packages and dashboards utilizing data infrastructure, localized datamarts and external data sourcesValidate the quality and integrity of the data included in all reportingDevelop substantial and insightful commentary/insights on new and existing reporting packages. Work with business partners to understand business objectives and develop valuable reporting and provide ad-hoc data extractsUnderstand business drivers, definitions and metrics in order to interpret findings, take action and provide relevant directionLead the development and implementation of portfolio reporting (e.g. acquisition, attrition, portfolio growth, profitability, etc.) Provide (and may develop) complex reporting, analysis, and assessments at the functional or enterprise levelWork independently as the senior analyst / expert and may provide technical support to othersMaintain expert knowledge of all main data sources for the data used within the business unit and ability to effectively utilize these data sources for reporting purposesIdeally have or acquire knowledge of broader enterprise reporting platforms and data sources and ability to integrate data across the enterprise`</u;> Job RequirementsWhat can you bring to TD? Share your most relevant experience, credentials and knowledge for this role, as well as these essential requirements and attributes: Undergraduate degree or technical certificateFive (5) or more years relevant experience InclusivenessAt TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs."
5,"Data Analyst, Payments Decision Support",Loblaw Companies Limited,"Toronto, ON",On-site,2 days ago,"Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague.Location: 500 Lakeshore Blvd. West, Toronto, Ontario, M5V 2V9When you hire great people, great things can happen. PC Financial offers unprecedented value to Canadians through payment products. We're a different kind of bank with a different type of team—we’re collaborative and supportive and have the freedom and responsibility to thrive. Our purpose is to make the everyday simple and better for our customers, and we strive to make every dollar worth more.Proudly serving over 3 million customers, PC Financial continues to grow by offering payment solutions and services that reward our customers every day. As a subsidiary of Loblaws Company Inc., we share the CORE values of Care, Ownership, Respect and Excellence. We are dedicated to helping Canadians Live Life Well. Join us on our journey.Data Analyst, Payment Decision Support500 Lakeshore Ave, Toronto, ONReferred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague.Location: 500 Lakeshore Blvd. West, Toronto, Ontario, M5V 2V9When you hire great people, great things can happen. PC Financial offers unprecedented value to Canadians through payment products. We're a different kind of bank with a different type of team—we’re collaborative and supportive and have the freedom and responsibility to thrive. Our purpose is to make the everyday simple and better for our customers, and we strive to make every dollar worth more.Proudly serving over 3 million customers, PC Financial continues to grow by offering payment solutions and services that reward our customers every day. As a subsidiary of Loblaws Company Inc., we share the CORE values of Care, Ownership, Respect and Excellence. We are dedicated to helping Canadians Live Life Well. Join us on our journey.Role OverviewThe mandate of our Payment Decision Support team is to provide reporting and analytics services to allow PC Financial to capitalize on diverse sources of data to improve the understanding of customer behaviors to drive profitability and improve customer experience. This role will provide accurate, easy-to-use and timely data and reporting solutions to enable evidence-based decisions across the enterprise.What You'll DoBe hands-on coding - extracting, preparing, and analyzing large data setsWork with stakeholders across the organization to provide data support for business insightsCreate and productionize business critical reporting and data solutions using BI and cloud-based data tools.Interact with stakeholders at various levels to perform data analysis, identify use-cases, and provide insights to drive product and marketing strategiesStrictly adhere to legal guidelines regarding working with sensitive and confidential information What You'll Need1-2 years experience in a similar role, preferably in financial services/banking domainWorking knowledge of relational databases and SQL data extraction and manipulation toolsUnderstanding of data warehouse, data mart conceptsHands on with SAS. Experience with Python is a bonus.Experience with BI tools and Cloud technology, such as Tableau and Google Cloud Platform.Sound communication skills, ability to work independently and as a team playerDemonstration of problem-solving using combination of technical know-how, soft skills, and business acumenStrong analytical and conceptual thinker who can learn quicklyAble to plan and organize effectivelyExperience in any of the following domains would be considered an asset: financial services/banking, credit cards/payments, digital platforms, AMLUniversity degree in Computer Science/Engineering/Analytics/Mathematics/StatisticsCOVID-19 is a serious condition and has had a devastating impact on Canadians and others across the globe. As a leading Health and Wellness provider for millions of Canadians, our goal is to help all Canadians ""Live Life Well"".In support of this goal, we have adopted a COVID-19 Vaccination Policy to protect the health and well-being of our employees as we continue our phased approach of office reopening. Employees will be required either to be fully vaccinated or undergo regular COVID-19 Rapid Antigen Screening in order to access the workplace.Come and join a winning team who demonstrates innovation, energy, creativity and vision. We recognize the importance of a diverse workforce and we therefor encourage applications from Aboriginal Peoples, women, members of a visible minority and persons with a disability. We thank all applicants for their interest, however, only those selected for an interview will be contacted.Number Of Openings1PC Financial recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants and colleagues with disabilities.In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.Please Note: If you have Employee Self Service (ESS) on Workday, apply to this job via the Workday application."
6,Data Scientist,Workday,"Vancouver, BC",,2 days ago,"Do What You Love. Love What You Do.At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.About The TeamOur Internal Product Analytics team is crafting the next generation of reporting and analytic tools for all of Workday's products, enabling them to catalog, mine, and explore their critical business data. We have built our Analytics solution using the most modern technologies, providing an unparalleled level of agility, ease-of-use, and delivery of insights. We are passionate about innovation and not only demonstrate this in our technology and tools, but also in how we work.Our team is growing, and we're looking for a Data Scientist to join us and support our continued success! We are looking for a passionate and highly motivated Business Insights Analyst with a proven track record delivering data driven insights. You will provide a key function in shaping the success of Workday's current and future products.About The RoleThis role will report to the Senior Manager of Business Insights and work closely with analytics teams, analysts and business leaders across the company. You will work cross functionally to partner with business leaders to understand their vision and provide meaningful insights. You will have an immediate impact on the efficiency and effectiveness of the Workday products.About YouYou will be passionate about Data and Analytics, Data Science and Machine Learning, a strong communicator, a phenomenal teammate and champion in providing high quality products to our customers. You'll be able to closely work with Product Managers, Developers, Database Engineers and Program Managers.Below is an overview of responsibilities for this role:Lead Business Insights for Internal Product Analytics by analyzing data to identify patterns and trends and providing recommendations to improve product health. Connect the dots.Apply data mining, statistical and Machine Learning modeling techniques.Design, construct and summarize in-depth analyses.Complete tasks with an emphasis on quality and accuracy.Explain findings to both technical and non-technical audiences, including customers and senior management.Translate business questions and requirements into analytics projects and interpret results to drive meaningful business optimizations and programs.Work autonomously to proactively uncover trends and anomalies, utilize statistical methods to develop actionable insights.Proactively identify areas for deeper analysis and study.Help foster a culture of learning and pushing the boundary through hypothesis testing, validation, and research.Basic Qualifications:Bachelor’s Degree in STEM field, Computer Science or equivalent. Master's Degree is a plus.3+ years of experience as a Data Scientist (with data analytics & insights); 5+ years preferred2+ years of Machine Learning experienceProficient in using Data Analytics tools, such as Python, Machine Learning libraries, R, SAS, or equivalent.Strong SQL skills with the ability to perform effective querying involving multiple tables and subqueries.Distinctive problem solving and analytical thinking and attention to detail, while staying focused on the big picture.Proven track record of using data to drive business decisions including the ability to structure problems for analysis, analyze the data, and provide actionable recommendations through effective and compelling storytelling.Exceptional verbal and written communication skills and ability to engage effectively at all levels of the organization, to both technical and non-technical audiencesSelf-starter with a high degree of motivation to go above and beyond the task at hand. Demonstrated passion for connecting the dots, digging deeper to uncover stories and trends in data, with a keen eye for detail.Demonstrated ability to work collaboratively and effectively across different functionsOther Qualifications:AWS experience is a plusExperience with visualization tools, such as Tableau. Advanced Excel and Google Slides skillsAre you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
7,Data Quality Analyst,ICES,"Toronto, ON",Remote,1 week ago,"Data. Discovery. Better Health.ICES is a world-leading health research and analytics institute. With a wealth of data and analytic expertise, we create trusted evidence that has changed health policy and practice and helps ensure better health for all. Ready to discover more with us? Join our outstanding, collaborative team where your skills, knowledge and curiosity are valued and can change the future of health care.At ICES, we recognize what matters most to our employees. Some of the great benefits of working at ICES include:Flexible remote work arrangements anywhere in OntarioCompetitive CompensationComprehensive Benefits ProgramHOOPP Pension Plan (Defined Pension)Employee Assistance Program and Dialogue Well Being ProgramGenerous vacation, float and caregiver days for all employeesEducation Fund and Dedicated Education DaysHoliday ClosurePerkopolis Employee Discount ProgramIntroduction:The ICES Data Quality and Information Management Department is seeking a motivated and collaborative Data Quality Analyst to join their team. Reporting to the Manager, Data Quality, the Data Quality Analyst collaborates with ICES researchers in the creation, documentation and Data Quality Assessment of research-ready data from a variety of sourcesResponsibilities of the position include, but may not be limited to:Create research-ready, user-friendly, standardized SAS datasets for the ICES Data Repository;Create and maintain SAS macros and other tools to facilitate and standardize data use;Create and maintain documentation of data, macros, and processes;Act as a resource on selected data-related issues to the ICES research community;Assess and report on data quality issues, and to continually enhance the ICES data infrastructure;Gain and share expertise in specific data holdings;Participate actively in the ICES Data Issues Group;Other duties as may be assigned within the scope of this position.Knowledge, skills and abilities required: Master’s degree in a quantitative discipline such as biostatistics, health informatics, computer science or health services research or related field; or equivalentAdvanced knowledge of SAS and other data management tools, at the “Certified SAS Advanced Programmer” level;Facility with macro writing and SQLCreativity in developing data quality measures, and initiative in resolving data anomalies;Demonstrated attention to detail;Strong communication skills and an ability to convey complex concepts are essential;Ability to integrate data and research concepts, and to exercise good judgment;Knowledge of the Ontario health care system would be an asset.Knowledge of Python would be an assetSecurity clearance may be required.Interested candidates should submit their resume and cover letter detailing how their knowledge, skills and abilities match the scope of this position.We thank all applicants for their interest in working at ICES. Due to the volume of applications received, only applicants being considered for the position will be contacted for further discussions.ICES is committed to providing accessible employment practices, in compliance with the Accessibility for Ontarians with Disabilities Act, 2005 (AODA). Applicants are asked to make accommodation requests to ICES and we will make every effort to ensure that accommodation requests are met throughout the recruitment process."
8,Data Scientist,FIS,"Toronto, ON",,4 days ago,"Position TypeFull timeType Of HireExperienced (relevant combo of work and education)Education DesiredBachelor of Information TechnologyTravel Percentage0%We are FIS. If You’re Ready To Start Learning, Growing And Making An Impact With a Career In Fintech, We’d Like To KnowOur technology powers the world’s economy and our teams bring innovation to life. We champion diversity to deliver the best products and solutions for our colleagues, clients and communities.Are you FIS?About The RoleThis Data Scientist role is responsible for working with the established team to employ machine learning and statistical modeling to create and enhance data driven productsThis Data scientist will have the opportunity to learn and grow under a Senior DSThey will work with the Senior Data Scientist to analyze and extract insights from internal and external dataThis role works with Big Data and transform complex datasets into more usable formatsThis is an opportunity to work with a variety of data science tools and programming languages such as SAS, Python, R, SQLThis role may even create and present analyses to internal and external partners and clientsWith the assistance of senior Data scientist this role will document models and write code to track and monitor models and product performanceBuilding and maintain reports utilizing SQL, Power BI and other applications This role will be remote, however the ideal candidate will be in the Nova Scotia Canadian Province. What You BringBachelors in Statistics, Decision Sciences, Applied Mathematics, Economics or Computer Science or the equivalent combination of education, training, and work experienceKnowledge in machine learning, artificial intelligence, statistical modeling, data visualization, and data analysisProficient in data science tools and programming languages such as SAS, Python, R, Scala, SQLExperience or knowledge of cloud-based technologyWhat We Offer YouA career at FIS is more than just a job. It’s the change to shape the future of fintech. At FIS, we offer you~A voice in the future of fintechAlways-on learning and developmentCollaborative work environmentOpportunities to give backCompetitive salary and benefits#FirstNations#canadajobs# GCIndigenous#Isadore#DataScience#NOVASCOTIA#FINTECH#RemoteJOB#Virtual#DICEPrivacy StatementFIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice .Sourcing ModelRecruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.#pridepass"
9,Senior Data Science Analyst,BCAA,"Burnaby, BC",Hybrid,1 week ago,"We are Hiring! Senior Data Science Analyst (Hybrid Work Model) This role will use strong analytical, problem solving and critical thinking abilities on varied projects. These include deepening our understanding of our insurance portfolio and developing solutions to enhance our rating sophistication, underwriting capability and insurance products. Key Responsibilities Descriptive Analytics Work with senior team members to establish the scope of analysis required Extract, explore and analyze data using a variety of tools Produce data summaries, tables, charts, visualizations, maps that provide insight to the business Perform checks to ensure accuracy Summarize approach, conclusions and insights to senior team members Predictive Analytics Work with senior team members to establish the project modelling approach and framework Develop both statistical and algorithmic predictive models as appropriate to the project Ensure models are appropriately tested, using validation techniques and performance metrics Tune models to achieve best results Summarize modelling approach, conclusions and insights to senior team members Dashboarding, Reporting and Automation Responsible for scheduling and delivery of regular reports and processes on an ongoing basis, including undertaking reviews and performing checks to ensure accuracy Seek opportunities to automate reports and processes Prepare, update and maintain dashboards, including working with senior team members to develop tracking metrics and design of dashboards Data Preparation Query internal databases Source external data Data merging, cleaning, transformation, wrangling Preparation of modeling datasets Work with other team members and colleagues from around the organization to define data requirements Research Project based research Communication Present results of analysis to team members Prepare presentations, papers and email deliverables summarizing analysis approach and conclusions Learning and Development Continuous development of technical knowledge of modelling, coding, visualization and analytical tool use Working towards actuarial or data science related qualifications Proactively share knowledge across the team  Qualifications  Education Bachelor’s Degree in Statistics, Mathematics, Computer Science, Data Science, Natural Sciences, Engineering or similar discipline with emphasis on quantitative analysis and methods Experience Minimum Two Years Experience in an Analytical RoleOR equivalent combination of education and experienceOther Skills / Qualifications Demonstrated analytical capabilities, including critical thinking with strong attention to detail Understanding of predictive modeling techniques, including, GLMs, logistic regression, clustering techniques and machine learning algorithms Understanding of actuarial concepts and insurance pricing Understanding of database structures and logic and use of data science and statistical tools / languages such as R, Python, SAS Understanding of dashboarding/visualization tools such as PowerBI, Tableau Understanding of other analytics tools, such as GIS software Excellent written communication skills along with the ability to present results of analysis to a non-technical audience Excellent interpersonal skills Able to work independently and as part of a team Highly organized with demonstrated experience in solving problems Desire to learn and continuously develop both technical and non-technical skills Full vaccination against COVID-19 is a precondition of new employment. A successful candidate offered employment at BCAA will need to provide proof of full vaccination prior to commencing employment. Exemptions are permitted under applicable employment and human rights legislation."
